0,[User:39 - Device:3 - Object:0 - BoundingBoxType:0 - time:04/07/2014 21:45:58] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,39,3,0,3,8.41483497619629,8.41483497619629,0,7.76625061035156
1,39,3,0,3,9.31173133850098,17.7265663146973,1,26.6303310394287
1,39,3,0,3,1.53579711914063,19.2623634338379,2,179.982696533203
0,[User:39 - Device:3 - Object:0 - BoundingBoxType:0 - time:04/07/2014 21:48:42] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,39,3,0,3,15.2755374908447,15.2755374908447,0,4.24197483062744
1,39,3,0,3,10.4019203186035,25.6774578094482,0,10.0336132049561
1,39,3,0,3,6.15749740600586,31.8349552154541,0,11.9826488494873
1,39,3,0,3,4.62961959838867,36.4645748138428,0,11.8875856399536
1,39,3,0,3,3.46134948730469,39.9259243011475,0,9.09701728820801
1,39,3,0,3,3.24813842773438,43.1740627288818,0,5.72641324996948
1,39,3,0,3,3.99235534667969,47.1664180755615,0,13.5184669494629
1,39,3,0,3,2.74388122558594,49.9102993011475,0,7.97759962081909
1,39,3,0,3,3.47676086425781,53.3870601654053,0,14.5976514816284
1,39,3,0,3,2.91096496582031,56.2980251312256,0,6.30450582504272
1,39,3,0,3,3.74597930908203,60.0440044403076,2,38.4886131286621
1,39,3,0,3,3.86251831054688,63.9065227508545,1,21.1355819702148
0,[Device Ends At04/07/2014 21:50:11 -- Overall Times ] 63.9065227508545[Overall error] 154.991672039032  ,,,,,,,,
0,[User:39 - Device:2 - Object:0 - BoundingBoxType:0 - time:04/07/2014 22:04:45] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,39,2,0,3,7.37162971496582,7.37162971496582,0,6.11586952209473
1,39,2,0,3,6.11559295654297,13.4872226715088,0,7.06571435928345
1,39,2,0,3,5.95752334594727,19.4447460174561,0,14.3435220718384
1,39,2,0,3,5.04708480834961,24.4918308258057,0,7.57706117630005
1,39,2,0,3,10.10400390625,34.5958347320557,0,12.8815450668335
1,39,2,0,3,7.4564094543457,42.0522441864014,1,18.9405059814453
1,39,2,0,3,7.89337158203125,49.9456157684326,0,11.4020099639893
1,39,2,0,3,6.99050903320313,56.9361248016357,0,7.13816690444946
1,39,2,0,3,9.25138092041016,66.1875057220459,0,12.3155031204224
1,39,2,0,3,6.04925537109375,72.2367610931396,0,15.4656810760498
1,39,2,0,3,10.2534332275391,82.4901943206787,0,3.08055329322815
1,39,2,0,3,9.36716461181641,91.8573589324951,0,2.36798095703125
0,[Device Ends At04/07/2014 22:06:37 -- Overall Times ] 91.8573589324951[Overall error] 118.694113492966  ,,,,,,,,
0,[User:39 - Device:0 - Object:0 - BoundingBoxType:0 - time:04/07/2014 22:15:33] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,39,0,0,3,18.2508850097656,18.2508850097656,0,13.2496147155762
1,39,0,0,3,5.46261596679688,23.7135009765625,0,9.08891773223877
1,39,0,0,3,10.3584289550781,34.0719299316406,0,5.10717964172363
1,39,0,0,3,7.926025390625,41.9979553222656,0,3.92886781692505
1,39,0,0,3,8.82870483398438,50.82666015625,0,10.3222131729126
1,39,0,0,3,16.6558227539063,67.4824829101563,0,12.1183853149414
1,39,0,0,3,8.08084106445313,75.5633239746094,0,7.99819278717041
1,39,0,0,3,6.88400268554688,82.4473266601563,0,6.06805324554443
1,39,0,0,3,5.16726684570313,87.6145935058594,0,4.21066999435425
1,39,0,0,3,7.49668884277344,95.1112823486328,0,14.3143320083618
1,39,0,0,3,4.99565124511719,100.10693359375,0,3.28135800361633
1,39,0,0,3,8.29783630371094,108.404769897461,0,7.84552335739136
0,[Device Ends At04/07/2014 22:19:15 -- Overall Times ] 108.404769897461[Overall error] 97.5333077907562  ,,,,,,,,
0,[User:39 - Device:1 - Object:0 - BoundingBoxType:0 - time:04/07/2014 22:26:06] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,39,1,0,3,9.65252685546875,9.65252685546875,0,3.70975971221924
1,39,1,0,3,8.007568359375,17.6600952148438,0,3.39923524856567
1,39,1,0,3,6.55899047851563,24.2190856933594,0,15.654486656189
1,39,1,0,3,4.96533203125,29.1844177246094,0,9.75955486297607
1,39,1,0,3,8.46383666992188,37.6482543945313,0,4.17331981658936
1,39,1,0,3,6.171875,43.8201293945313,0,3.81319355964661
1,39,1,0,3,7.12594604492188,50.9460754394531,0,4.97217655181885
1,39,1,0,3,6.622314453125,57.5683898925781,0,2.94625544548035
1,39,1,0,3,6.11660766601563,63.6849975585938,0,7.29155302047729
1,39,1,0,3,7.7093505859375,71.3943481445313,0,2.16996669769287
1,39,1,0,3,6.92318725585938,78.3175354003906,0,9.86362361907959
1,39,1,0,3,4.61447143554688,82.9320068359375,0,2.96321058273315
0,[Device Ends At04/07/2014 22:31:33 -- Overall Times ] 82.9320068359375[Overall error] 70.716335773468  ,,,,,,,,
0,[User:39 - Device:4 - Object:1 - BoundingBoxType:0 - time:04/07/2014 22:40:11] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,39,4,1,3,17.6606674194336,17.6606674194336,0,4.26130867004395
1,39,4,1,3,11.7416839599609,29.4023513793945,0,7.82733201980591
1,39,4,1,3,8.98064422607422,38.3829956054688,1,20.6975936889648
1,39,4,1,3,6.68314361572266,45.0661392211914,1,20.8160762786865
1,39,4,1,3,13.3312301635742,58.3973693847656,0,3.60292482376099
1,39,4,1,3,11.2216644287109,69.6190338134766,0,9.81000995635986
1,39,4,1,3,4.73031616210938,74.3493499755859,1,24.2284164428711
1,39,4,1,3,7.02488708496094,81.3742370605469,0,6.76040697097778
1,39,4,1,3,11.8226776123047,93.1969146728516,0,9.51316261291504
1,39,4,1,3,10.8229675292969,104.019882202148,0,6.90573358535767
1,39,4,1,3,8.04193115234375,112.061813354492,0,12.5438966751099
1,39,4,1,3,5.70155334472656,117.763366699219,0,5.89366292953491
0,[Device Ends At04/07/2014 22:43:18 -- Overall Times ] 117.763366699219[Overall error] 132.860524654388  ,,,,,,,,
