0,[User:36 - Device:4 - Object:0 - BoundingBoxType:0 - time:04/07/2014 15:49:12] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,36,4,0,0,7.19927787780762,7.19927787780762,0,5.07981824874878
1,36,4,0,0,5.36793899536133,12.5672168731689,1,18.7906818389893
1,36,4,0,0,11.8753128051758,24.4425296783447,0,9.383957862854
1,36,4,0,1,10.8539581298828,35.2964878082275,0,10.5863361358643
1,36,4,0,1,13.9124603271484,49.208948135376,0,14.7777786254883
1,36,4,0,1,21.7577133178711,70.9666614532471,0,7.08729553222656
1,36,4,0,1,10.3758392333984,81.3425006866455,0,15.2483253479004
1,36,4,0,0,9.3094482421875,90.651948928833,0,15.7757902145386
1,36,4,0,0,7.92529296875,98.577241897583,0,9.446457862854
1,36,4,0,1,20.4196319580078,118.996873855591,0,16.4056797027588
1,36,4,0,1,5.89105224609375,124.887926101685,0,7.2239990234375
1,36,4,0,0,11.6841735839844,136.572099685669,0,7.04251050949097
0,[Device Ends At04/07/2014 15:51:45 -- Overall Times ] 136.572099685669[Overall error] 136.848630905151  ,,,,,,,,
0,[User:36 - Device:4 - Object:1 - BoundingBoxType:0 - time:04/07/2014 15:52:47] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,36,4,1,0,4.69220733642578,4.69220733642578,0,6.84067296981812
1,36,4,1,0,11.3219976425171,16.0142049789429,0,16.4328002929688
1,36,4,1,0,12.2602100372314,28.2744150161743,0,14.0326471328735
1,36,4,1,1,5.40195465087891,33.6763696670532,1,26.3856563568115
1,36,4,1,1,7.74550628662109,41.4218759536743,1,19.5376300811768
1,36,4,1,1,7.70635604858398,49.1282320022583,2,37.3773574829102
1,36,4,1,0,8.04463195800781,57.1728639602661,1,21.8539123535156
1,36,4,1,1,13.0429916381836,70.2158555984497,0,13.2866249084473
1,36,4,1,1,5.55093383789063,75.7667894363403,0,7.78709983825684
1,36,4,1,1,4.24717712402344,80.0139665603638,0,6.92724752426147
1,36,4,1,0,3.51482391357422,83.528790473938,0,13.2876281738281
1,36,4,1,0,4.19500732421875,87.7237977981567,1,22.4385261535645
0,[Device Ends At04/07/2014 15:54:26 -- Overall Times ] 87.7237977981567[Overall error] 206.187803268433  ,,,,,,,,
0,[User:36 - Device:0 - Object:1 - BoundingBoxType:0 - time:04/07/2014 16:02:35] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,36,0,1,1,11.4986753463745,11.4986753463745,0,9.24253177642822
1,36,0,1,0,6.3107795715332,17.8094549179077,0,3.68796110153198
1,36,0,1,0,5.59229469299316,23.4017496109009,0,6.15008783340454
1,36,0,1,1,5.92194175720215,29.323691368103,0,1.23857653141022
1,36,0,1,0,7.10600280761719,36.4296941757202,1,17.7153911590576
1,36,0,1,1,7.00822067260742,43.4379148483276,1,17.8087863922119
1,36,0,1,0,6.93974685668945,50.3776617050171,0,10.2654161453247
1,36,0,1,1,10.7522315979004,61.1298933029175,0,6.46590089797974
1,36,0,1,1,15.0009765625,76.1308698654175,0,15.1446523666382
1,36,0,1,0,10.3852844238281,86.5161542892456,2,44.3529930114746
1,36,0,1,1,7.09086608886719,93.6070203781128,0,8.45395565032959
1,36,0,1,0,4.83303070068359,98.4400510787964,2,36.222412109375
0,[Device Ends At04/07/2014 16:04:18 -- Overall Times ] 98.4400510787964[Overall error] 176.748664975166  ,,,,,,,,
0,[User:36 - Device:0 - Object:0 - BoundingBoxType:0 - time:04/07/2014 16:04:28] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,36,0,0,1,7.45335388183594,7.45335388183594,0,4.89137268066406
1,36,0,0,1,6.47222709655762,13.9255809783936,0,5.96221828460693
1,36,0,0,1,7.32695007324219,21.2525310516357,0,1.89582633972168
1,36,0,0,1,6.38882064819336,27.6413516998291,0,6.32818508148193
1,36,0,0,0,4.83075714111328,32.4721088409424,0,12.5711259841919
1,36,0,0,0,4.61574935913086,37.0878582000732,0,11.3673038482666
1,36,0,0,0,3.19835662841797,40.2862148284912,0,5.4610161781311
1,36,0,0,0,6.19979095458984,46.4860057830811,0,2.51793146133423
1,36,0,0,0,4.29859924316406,50.7846050262451,0,14.6644334793091
1,36,0,0,0,8.86651611328125,59.6511211395264,0,6.57376098632813
1,36,0,0,1,8.65946197509766,68.310583114624,0,15.5980129241943
1,36,0,0,1,8.54571533203125,76.8562984466553,0,6.77267456054688
0,[Device Ends At04/07/2014 16:05:58 -- Overall Times ] 76.8562984466553[Overall error] 94.6038618087769  ,,,,,,,,
0,[User:36 - Device:1 - Object:0 - BoundingBoxType:0 - time:04/07/2014 16:11:33] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,36,1,0,0,5.91998887062073,5.91998887062073,0,6.2756233215332
1,36,1,0,1,9.21177291870117,15.1317617893219,0,6.77648973464966
1,36,1,0,0,9.06693649291992,24.1986982822418,0,6.43190050125122
1,36,1,0,0,5.18357086181641,29.3822691440582,0,6.41825008392334
1,36,1,0,0,11.7407493591309,41.1230185031891,0,4.99699354171753
1,36,1,0,0,5.95103073120117,47.0740492343903,0,3.43292045593262
1,36,1,0,1,8.03023910522461,55.1042883396149,0,7.49495363235474
1,36,1,0,1,11.9035720825195,67.0078604221344,0,6.02063798904419
1,36,1,0,1,13.8379898071289,80.8458502292633,0,5.52558422088623
