0,[User:21 - Device:0 - Object:0 - BoundingBoxType:0 - time:04/03/2014 20:09:54] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,21,0,0,3,11.6996014714241,11.6996014714241,0,13.1109574778801
1,21,0,0,3,10.454249382019,22.1538508534431,1,17.5889042350753
1,21,0,0,3,4.84767913818359,27.0015299916267,2,139.665074359812
0,[User:21 - Device:0 - Object:0 - BoundingBoxType:0 - time:04/03/2014 20:12:40] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,21,0,0,3,8.46665573120117,8.46665573120117,0,13.5333330920588
1,21,0,0,3,14.2814159393311,22.7480716705322,1,17.699895440166
1,21,0,0,3,23.3131256103516,46.0611972808838,0,7.65129571680783
1,21,0,0,3,11.2717475891113,57.3329448699951,0,12.5876448775246
1,21,0,0,3,8.47793579101563,65.8108806610107,0,8.82465131195299
1,21,0,0,3,10.7853164672852,76.5961971282959,0,1.03416514555295
1,21,0,0,3,8.79795837402344,85.3941555023193,1,18.5529400768464
1,21,0,0,3,6.78935241699219,92.1835079193115,0,3.54438791122295
1,21,0,0,3,9.43252563476563,101.616033554077,0,7.67098447440624
1,21,0,0,3,8.02667999267578,109.642713546753,0,14.7970743858705
1,21,0,0,3,5.45354461669922,115.096258163452,0,9.25787350811821
1,21,0,0,3,8.30900573730469,123.405263900757,0,10.8540771536733
0,[Device Ends At04/03/2014 20:15:01 -- Overall Times ] 123.405263900757[Overall error] 126.008323094201  ,,,,,,,,
0,[User:21 - Device:1 - Object:0 - BoundingBoxType:0 - time:04/03/2014 20:24:26] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,21,1,0,3,10.2230668067932,10.2230668067932,0,12.7955859290742
1,21,1,0,3,7.84353637695313,18.0666031837463,0,7.10695331766083
1,21,1,0,3,33.5323219299316,51.598925113678,0,1.99986235991809
1,21,1,0,3,9.6976432800293,61.2965683937073,0,3.87939553903494
1,21,1,0,3,5.98878479003906,67.2853531837463,0,16.7232653542867
1,21,1,0,3,7.45738983154297,74.7427430152893,0,5.07748554355209
1,21,1,0,3,8.17910003662109,82.9218430519104,0,4.76555974949368
1,21,1,0,3,6.05796051025391,88.9798035621643,0,0.433886616216215
1,21,1,0,3,8.54073333740234,97.5205368995667,0,7.17298392229371
1,21,1,0,3,7.87933349609375,105.39987039566,0,6.25538886452547
1,21,1,0,3,7.05442047119141,112.454290866852,0,9.36955415971338
1,21,1,0,3,10.4372253417969,122.891516208649,0,5.87087936662153
0,[Device Ends At04/03/2014 20:26:36 -- Overall Times ] 122.891516208649[Overall error] 81.4508007223909  ,,,,,,,,
0,[User:21 - Device:4 - Object:1 - BoundingBoxType:0 - time:04/03/2014 20:35:25] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,21,4,1,3,13.9147529602051,13.9147529602051,0,11.7007819400802
1,21,4,1,3,10.8257083892822,24.7404613494873,1,17.5979572700463
1,21,4,1,3,12.3179550170898,37.0584163665771,0,13.1602240605205
1,21,4,1,3,7.71780776977539,44.7762241363525,0,16.223391497509
1,21,4,1,3,6.75078964233398,51.5270137786865,0,10.505408848159
1,21,4,1,3,7.5108642578125,59.037878036499,0,15.59393840348
1,21,4,1,3,6.72050476074219,65.7583827972412,0,3.58862176322778
1,21,4,1,3,7.49125671386719,73.2496395111084,0,13.584276357596
1,21,4,1,3,12.8944320678711,86.1440715789795,0,13.2383661991853
1,21,4,1,3,7.55766296386719,93.7017345428467,1,19.1985797235059
1,21,4,1,3,8.56992340087891,102.271657943726,0,3.74353236438854
1,21,4,1,3,6.49995422363281,108.771612167358,0,7.22434494460621
0,[Device Ends At04/03/2014 20:37:22 -- Overall Times ] 108.771612167358[Overall error] 145.359423372305  ,,,,,,,,
0,[User:21 - Device:3 - Object:0 - BoundingBoxType:0 - time:04/03/2014 20:49:29] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,21,3,0,3,10.5871143341064,10.5871143341064,0,4.77180720867074
1,21,3,0,3,10.1468448638916,20.733959197998,0,2.79366285762368
1,21,3,0,3,10.0172309875488,30.7511901855469,0,5.32614896058081
1,21,3,0,3,11.0725212097168,41.8237113952637,0,4.30358916301453
1,21,3,0,3,11.3226852416992,53.1463966369629,0,7.51057762548766
1,21,3,0,3,8.54462432861328,61.6910209655762,0,5.21411124991361
1,21,3,0,3,9.56726837158203,71.2582893371582,0,2.06907067890889
1,21,3,0,3,8.86418914794922,80.1224784851074,0,5.17925864939282
1,21,3,0,3,6.97412872314453,87.096607208252,0,9.35547716296182
1,21,3,0,3,10.1800384521484,97.2766456604004,0,10.2470764434434
1,21,3,0,3,7.99341583251953,105.27006149292,0,5.91893282466347
1,21,3,0,3,8.51250457763672,113.782566070557,0,8.61671660778572
0,[Device Ends At04/03/2014 20:51:49 -- Overall Times ] 113.782566070557[Overall error] 71.3064294324472  ,,,,,,,,
0,[User:21 - Device:2 - Object:1 - BoundingBoxType:0 - time:04/03/2014 21:03:12] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,21,2,1,3,7.20446074008942,7.20446074008942,0,15.3293209460074
1,21,2,1,3,4.30372047424316,11.5081812143326,1,33.9573865808947
1,21,2,1,3,3.45639514923096,14.9645763635635,1,29.0137959094568
1,21,2,1,3,2.84232330322266,17.8068996667862,1,17.6480686246503
0,[User:21 - Device:2 - Object:1 - BoundingBoxType:0 - time:04/03/2014 21:04:18] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,21,2,1,3,15.1994094848633,15.1994094848633,0,9.90292412354861
1,21,2,1,3,8.96075439453125,24.1601638793945,0,5.9978539958682
1,21,2,1,3,12.1932373046875,36.353401184082,0,1.48365314342656
1,21,2,1,3,6.9229850769043,43.2763862609863,0,4.87271131008016
1,21,2,1,3,9.08009338378906,52.3564796447754,0,6.20876099629101
1,21,2,1,3,6.40911102294922,58.7655906677246,0,4.67238104826691
1,21,2,1,3,8.57588958740234,67.341480255127,0,6.15806954555255
1,21,2,1,3,7.67714691162109,75.018627166748,0,12.2887840256686
1,21,2,1,3,8.76177978515625,83.7804069519043,0,13.2502234780246
1,21,2,1,3,8.16107177734375,91.941478729248,0,0.5009095119665
1,21,2,1,3,13.5179138183594,105.459392547607,0,4.60912754861505
1,21,2,1,3,11.8388137817383,117.298206329346,0,9.55577879949448
0,[Device Ends At04/03/2014 21:06:25 -- Overall Times ] 117.298206329346[Overall error] 79.5011775268032  ,,,,,,,,
