0,[User:18 - Device:1 - Object:0 - BoundingBoxType:0 - time:04/03/2014 14:09:01] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,18,1,0,0,4.39163303375244,4.39163303375244,0,16.1298062960295
1,18,1,0,1,9.0595555305481,13.4511885643005,0,10.2449184166006
1,18,1,0,0,9.64805793762207,23.0992465019226,1,25.0719400886496
1,18,1,0,0,8.29599189758301,31.3952383995056,1,27.2953812557123
1,18,1,0,0,21.6566581726074,53.051896572113,2,98.1539114689973
1,18,1,0,0,9.76731109619141,62.8192076683044,2,61.2900522141627
1,18,1,0,1,5.78463745117188,68.6038451194763,0,14.3149298492273
1,18,1,0,1,22.2301177978516,90.8339629173279,0,12.920745997684
1,18,1,0,1,10.1168823242188,100.950845241547,0,10.4594820988541
1,18,1,0,0,8.25807189941406,109.208917140961,0,13.1629455615132
1,18,1,0,1,8.41576385498047,117.624680995941,2,45.4267443322958
1,18,1,0,1,11.6012115478516,129.225892543793,1,27.9438091259374
0,[Device Ends At04/03/2014 14:11:14 -- Overall Times ] 129.225892543793[Overall error] 362.414666705664  ,,,,,,,,
0,[User:18 - Device:1 - Object:1 - BoundingBoxType:0 - time:04/03/2014 14:11:26] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,18,1,1,1,16.5319895744324,16.5319895744324,0,14.1554310968335
1,18,1,1,0,2.77722358703613,19.3092131614685,0,12.00762975808
1,18,1,1,1,4.31587600708008,23.6250891685486,1,33.8161124351845
1,18,1,1,0,4.0943603515625,27.7194495201111,2,42.752348252541
1,18,1,1,0,6.72441482543945,34.4438643455505,2,34.3216743365362
1,18,1,1,1,8.37864685058594,42.8225111961365,1,20.5212338745199
1,18,1,1,1,16.4898071289063,59.3123183250427,2,39.6772836925852
1,18,1,1,0,22.9775848388672,82.2899031639099,1,29.5028852668123
1,18,1,1,0,8.06045532226563,90.3503584861755,0,13.9738806542541
1,18,1,1,1,16.3240585327148,106.67441701889,2,44.0401585115106
1,18,1,1,0,4.66770935058594,111.342126369476,1,26.1022367973492
1,18,1,1,1,6.01834869384766,117.360475063324,1,25.7181367800015
0,[Device Ends At04/03/2014 14:13:30 -- Overall Times ] 117.360475063324[Overall error] 336.589011456208  ,,,,,,,,
0,[User:18 - Device:0 - Object:1 - BoundingBoxType:0 - time:04/03/2014 14:21:59] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,18,0,1,1,9.49110078811646,9.49110078811646,1,17.6174189466361
1,18,0,1,0,8.44878578186035,17.9398865699768,0,8.94941606697601
1,18,0,1,0,20.8031196594238,38.7430062294006,0,13.6057972741463
1,18,0,1,1,15.0987319946289,53.8417382240295,2,41.3922694147634
1,18,0,1,0,10.8362808227539,64.6780190467834,2,61.2459105630199
1,18,0,1,1,11.92333984375,76.6013588905334,1,30.7399684241091
1,18,0,1,0,21.8428649902344,98.4442238807678,1,17.0254711844373
1,18,0,1,1,36.5651016235352,135.009325504303,0,11.4324002145964
1,18,0,1,1,6.93409729003906,141.943422794342,1,32.9382906140881
1,18,0,1,0,11.1715698242188,153.114992618561,0,9.2425993953952
1,18,0,1,1,15.9854278564453,169.100420475006,0,11.198142222234
1,18,0,1,0,21.6101226806641,190.71054315567,1,19.5930741121678
0,[Device Ends At04/03/2014 14:25:12 -- Overall Times ] 190.71054315567[Overall error] 274.98075843257  ,,,,,,,,
0,[User:18 - Device:0 - Object:0 - BoundingBoxType:0 - time:04/03/2014 14:25:22] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,18,0,0,1,18.6082611083984,18.6082611083984,1,18.7045624275429
1,18,0,0,1,13.4099006652832,32.0181617736816,2,34.0818768335075
1,18,0,0,1,11.0893707275391,43.1075325012207,0,7.17358067313735
1,18,0,0,1,18.8034210205078,61.9109535217285,0,10.4494570279806
1,18,0,0,0,22.1351089477539,84.0460624694824,0,14.3035158945692
1,18,0,0,0,9.28266143798828,93.3287239074707,1,19.1169444596406
1,18,0,0,0,4.61504364013672,97.9437675476074,0,15.177974471529
1,18,0,0,0,4.56507110595703,102.508838653564,1,20.3962310243669
1,18,0,0,0,8.71549987792969,111.224338531494,1,19.8987165213423
1,18,0,0,0,30.0826797485352,141.307018280029,0,16.4140227071721
1,18,0,0,1,11.1404571533203,152.44747543335,0,5.62012392705813
1,18,0,0,1,7.72430419921875,160.171779632568,1,26.2132038490893
0,[Device Ends At04/03/2014 14:28:06 -- Overall Times ] 160.171779632568[Overall error] 207.550209816936  ,,,,,,,,
0,[User:18 - Device:2 - Object:1 - BoundingBoxType:0 - time:04/03/2014 14:39:35] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,18,2,1,1,10.2218718528748,10.2218718528748,0,15.5546329785531
1,18,2,1,0,3.59551429748535,13.8173861503601,0,10.0477777659419
1,18,2,1,1,8.52896785736084,22.3463540077209,0,9.35734145096177
1,18,2,1,0,3.41207122802734,25.7584252357483,1,26.3753705082885
1,18,2,1,0,25.2864685058594,51.0448937416077,2,36.4122507975451
1,18,2,1,0,20.1023941040039,71.1472878456116,1,28.572821967245
1,18,2,1,1,10.0331420898438,81.1804299354553,1,17.4678412414423
1,18,2,1,1,16.6251602172852,97.8055901527405,2,94.1177281771896
1,18,2,1,0,9.88132476806641,107.686914920807,2,86.8720131091886
1,18,2,1,0,12.4083099365234,120.09522485733,1,19.7868733182905
1,18,2,1,1,11.9920959472656,132.087320804596,1,17.4955415380729
1,18,2,1,1,13.7456359863281,145.832956790924,2,81.7520527551066
0,[Device Ends At04/03/2014 14:42:04 -- Overall Times ] 145.832956790924[Overall error] 443.812245607826  ,,,,,,,,
0,[User:18 - Device:2 - Object:0 - BoundingBoxType:0 - time:04/03/2014 14:42:19] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,18,2,0,1,13.1812691688538,13.1812691688538,0,8.63512397967877
1,18,2,0,0,15.0182132720947,28.1994824409485,0,2.2618283873016
1,18,2,0,0,5.04629135131836,33.2457737922668,0,9.62577443257301
1,18,2,0,1,23.5137252807617,56.7594990730286,0,7.11623928965416
1,18,2,0,0,8.26142501831055,65.0209240913391,0,12.0518791695152
1,18,2,0,1,20.6042633056641,85.6251873970032,1,24.9049177843544
1,18,2,0,0,17.9939041137695,103.619091510773,1,26.0001990520298
1,18,2,0,0,18.0795593261719,121.698650836945,0,16.464747639853
1,18,2,0,1,11.3892288208008,133.087879657745,0,10.8295293672928
1,18,2,0,1,7.19024658203125,140.278126239777,0,13.811806260494
1,18,2,0,0,10.6532745361328,150.931400775909,0,13.0575721682606
1,18,2,0,1,11.0544281005859,161.985828876495,2,39.0572660150179
0,[Device Ends At04/03/2014 14:45:07 -- Overall Times ] 161.985828876495[Overall error] 183.816883546025  ,,,,,,,,
0,[User:18 - Device:3 - Object:0 - BoundingBoxType:0 - time:04/03/2014 14:53:04] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,18,3,0,0,10.2259540557861,10.2259540557861,1,17.9061009421101
1,18,3,0,1,11.8440093994141,22.0699634552002,0,7.95661946597382
1,18,3,0,0,4.66384124755859,26.7338047027588,2,37.8113864545712
1,18,3,0,1,9.17861938476563,35.9124240875244,0,1.35435963182228
1,18,3,0,1,10.6865348815918,46.5989589691162,0,3.8029633561664
1,18,3,0,1,6.30448150634766,52.9034404754639,0,4.93295890327187
1,18,3,0,0,4.79957580566406,57.7030162811279,1,18.4774699807594
1,18,3,0,0,9.88420104980469,67.5872173309326,1,26.4151899393801
1,18,3,0,0,8.86787414550781,76.4550914764404,0,13.4551509112138
1,18,3,0,0,9.1925048828125,85.6475963592529,1,25.7396036025823
1,18,3,0,1,12.7257537841797,98.3733501434326,0,16.126341739676
1,18,3,0,1,17.5148468017578,115.88819694519,1,24.0115200278596
0,[Device Ends At04/03/2014 14:55:23 -- Overall Times ] 115.88819694519[Overall error] 197.989664955387  ,,,,,,,,
0,[User:18 - Device:3 - Object:1 - BoundingBoxType:0 - time:04/03/2014 14:55:35] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,18,3,1,1,11.3159506320953,11.3159506320953,1,26.1714584223491
1,18,3,1,1,17.9915447235107,29.3074953556061,0,13.3142995432214
1,18,3,1,1,15.4025001525879,44.709995508194,1,22.7564988675325
1,18,3,1,0,3.67797088623047,48.3879663944244,1,22.8474558457098
1,18,3,1,1,13.0278663635254,61.4158327579498,0,15.5293306258995
1,18,3,1,0,19.5423889160156,80.9582216739655,0,4.63021479459691
1,18,3,1,0,22.4720611572266,103.430282831192,2,34.7854035712676
1,18,3,1,1,15.8506698608398,119.280952692032,2,164.149295996814
1,18,3,1,1,10.4544982910156,129.735450983047,2,94.5035039190679
1,18,3,1,0,5.45269775390625,135.188148736954,2,34.7898014288809
1,18,3,1,0,11.7426452636719,146.930794000626,2,78.889304162599
1,18,3,1,0,5.29591369628906,152.226707696915,1,18.0049524303012
0,[Device Ends At04/03/2014 14:58:11 -- Overall Times ] 152.226707696915[Overall error] 530.37151960824  ,,,,,,,,
0,[User:18 - Device:4 - Object:0 - BoundingBoxType:0 - time:04/03/2014 15:06:57] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,18,4,0,0,5.50126206874847,5.50126206874847,0,13.6792899682201
