0,[User:60 - Device:4 - Object:0 - BoundingBoxType:0 - time:04/11/2014 16:10:41] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,60,4,0,0,16.3499393463135,16.3499393463135,0,6.0029239654541
1,60,4,0,0,6.92363548278809,23.2735748291016,0,14.2900800704956
1,60,4,0,0,2.72420120239258,25.9977760314941,0,7.88217926025391
1,60,4,0,1,15.2702331542969,41.268009185791,2,172.148300170898
1,60,4,0,1,14.267765045166,55.535774230957,0,9.97077560424805
1,60,4,0,1,10.649543762207,66.1853179931641,0,8.26626682281494
1,60,4,0,1,5.11875915527344,71.3040771484375,0,15.5100860595703
1,60,4,0,0,4.03240966796875,75.3364868164063,1,27.6915245056152
1,60,4,0,0,7.27523803710938,82.6117248535156,0,8.67892551422119
1,60,4,0,1,6.58891296386719,89.2006378173828,0,5.53705024719238
1,60,4,0,1,13.5135955810547,102.714233398438,0,5.18583154678345
1,60,4,0,0,9.81156921386719,112.525802612305,1,19.5102367401123
0,[Device Ends At04/11/2014 16:12:46 -- Overall Times ] 112.525802612305[Overall error] 300.67418050766  ,,,,,,,,
0,[User:60 - Device:4 - Object:1 - BoundingBoxType:0 - time:04/11/2014 16:14:34] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,60,4,1,0,6.11739683151245,6.11739683151245,0,14.9412574768066
1,60,4,1,0,5.49946117401123,11.6168580055237,0,2.35638332366943
1,60,4,1,0,3.09253311157227,14.7093911170959,1,29.8656234741211
1,60,4,1,1,12.7754802703857,27.4848713874817,0,8.68857860565186
1,60,4,1,1,8.96756172180176,36.4524331092834,0,9.92074108123779
1,60,4,1,1,7.2552375793457,43.7076706886292,1,26.2524795532227
1,60,4,1,0,2.22449111938477,45.9321618080139,0,8.77024936676025
1,60,4,1,1,13.1675758361816,59.0997376441956,0,12.0544805526733
1,60,4,1,1,5.16545104980469,64.2651886940002,0,7.76594829559326
1,60,4,1,1,4.94922637939453,69.2144150733948,1,20.6261043548584
1,60,4,1,0,6.30472564697266,75.5191407203674,1,32.2683372497559
1,60,4,1,0,3.44649505615234,78.9656357765198,0,11.1206302642822
0,[Device Ends At04/11/2014 16:15:58 -- Overall Times ] 78.9656357765198[Overall error] 184.630813598633  ,,,,,,,,
0,[User:60 - Device:1 - Object:0 - BoundingBoxType:0 - time:04/11/2014 16:22:30] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,60,1,0,0,7.96983575820923,7.96983575820923,0,4.87694597244263
1,60,1,0,1,12.4764928817749,20.4463286399841,0,7.93635225296021
1,60,1,0,0,10.7520503997803,31.1983790397644,1,20.2830047607422
1,60,1,0,0,5.92445755004883,37.1228365898132,0,6.39514827728271
1,60,1,0,0,10.1977386474609,47.3205752372742,0,6.73824453353882
1,60,1,0,0,4.33267974853516,51.6532549858093,0,4.83616018295288
1,60,1,0,1,14.265308380127,65.9185633659363,0,9.07623767852783
1,60,1,0,1,10.5171203613281,76.4356837272644,0,9.02802658081055
1,60,1,0,1,5.88777160644531,82.3234553337097,0,4.73174953460693
1,60,1,0,0,12.2406539916992,94.5641093254089,0,10.0890712738037
1,60,1,0,1,11.9749526977539,106.539062023163,0,12.7087469100952
1,60,1,0,1,7.89330291748047,114.432364940643,0,13.1180038452148
0,[Device Ends At04/11/2014 16:24:29 -- Overall Times ] 114.432364940643[Overall error] 109.817691802979  ,,,,,,,,
0,[User:60 - Device:1 - Object:1 - BoundingBoxType:0 - time:04/11/2014 16:24:37] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,60,1,1,1,22.9026174545288,22.9026174545288,0,13.3663845062256
1,60,1,1,0,2.99484634399414,25.8974637985229,1,18.2611675262451
1,60,1,1,1,8.42934417724609,34.326807975769,1,33.5642738342285
1,60,1,1,0,2.92950439453125,37.2563123703003,0,9.63210201263428
1,60,1,1,0,2.79051208496094,40.0468244552612,0,10.6226282119751
1,60,1,1,1,15.1646385192871,55.2114629745483,0,6.02557802200317
1,60,1,1,1,4.33076477050781,59.5422277450562,1,21.0159587860107
1,60,1,1,0,6.33824920654297,65.8804769515991,1,26.6681480407715
1,60,1,1,0,2.42958068847656,68.3100576400757,1,28.4656372070313
1,60,1,1,1,8.19405364990234,76.504111289978,0,6.86877822875977
1,60,1,1,0,4.66164398193359,81.1657552719116,0,11.7349042892456
1,60,1,1,1,7.37404632568359,88.5398015975952,0,7.23569917678833
0,[Device Ends At04/11/2014 16:26:13 -- Overall Times ] 88.5398015975952[Overall error] 193.461259841919  ,,,,,,,,
0,[User:60 - Device:0 - Object:1 - BoundingBoxType:0 - time:04/11/2014 16:31:43] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,60,0,1,1,8.37930727005005,8.37930727005005,0,9.40047645568848
1,60,0,1,0,8.5765323638916,16.9558396339417,0,5.66136789321899
1,60,0,1,0,7.00739288330078,23.9632325172424,0,12.2276372909546
1,60,0,1,1,12.577507019043,36.5407395362854,0,9.05748462677002
1,60,0,1,0,3.69277191162109,40.2335114479065,0,5.00560426712036
1,60,0,1,1,6.60683822631836,46.8403496742249,0,4.65283012390137
1,60,0,1,0,5.56831359863281,52.4086632728577,0,13.1961050033569
1,60,0,1,1,6.20484161376953,58.6135048866272,0,12.2264823913574
1,60,0,1,1,7.99402618408203,66.6075310707092,0,3.71840167045593
1,60,0,1,0,14.8521957397461,81.4597268104553,0,9.33011341094971
1,60,0,1,1,6.15225982666016,87.6119866371155,1,23.4481372833252
1,60,0,1,0,5.11775207519531,92.7297387123108,0,6.35756826400757
0,[Device Ends At04/11/2014 16:33:21 -- Overall Times ] 92.7297387123108[Overall error] 114.282208681107  ,,,,,,,,
0,[User:60 - Device:0 - Object:0 - BoundingBoxType:0 - time:04/11/2014 16:33:30] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,60,0,0,1,11.3113532066345,11.3113532066345,0,10.1930131912231
1,60,0,0,1,7.55890274047852,18.870255947113,0,7.27617692947388
1,60,0,0,1,7.99515724182129,26.8654131889343,0,6.04478073120117
1,60,0,0,1,3.71129989624023,30.5767130851746,1,27.251558303833
1,60,0,0,0,8.64676284790039,39.223475933075,0,5.74715948104858
1,60,0,0,0,4.13132476806641,43.3548007011414,0,6.26338243484497
1,60,0,0,0,3.71535110473633,47.0701518058777,0,4.12596750259399
1,60,0,0,0,6.41785430908203,53.4880061149597,0,15.6820974349976
1,60,0,0,0,27.1419715881348,80.6299777030945,0,13.8764476776123
1,60,0,0,0,5.65235137939453,86.282329082489,0,2.45082259178162
1,60,0,0,1,10.3181991577148,96.6005282402039,0,13.1621198654175
1,60,0,0,1,9.68499755859375,106.285525798798,0,14.3190994262695
0,[Device Ends At04/11/2014 16:35:20 -- Overall Times ] 106.285525798798[Overall error] 126.392625570297  ,,,,,,,,
0,[User:60 - Device:3 - Object:0 - BoundingBoxType:0 - time:04/11/2014 16:42:02] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,60,3,0,0,8.68807077407837,8.68807077407837,0,10.5522241592407
1,60,3,0,1,8.96271800994873,17.6507887840271,0,12.5695667266846
1,60,3,0,0,10.4689502716064,28.1197390556335,0,1.96356463432312
1,60,3,0,1,9.14772415161133,37.2674632072449,0,11.9516572952271
1,60,3,0,1,10.5875244140625,47.8549876213074,0,7.28532075881958
1,60,3,0,1,8.57949066162109,56.4344782829285,0,7.9863338470459
1,60,3,0,0,6.82131576538086,63.2557940483093,0,8.08895587921143
1,60,3,0,0,5.81900787353516,69.0748019218445,0,5.03072309494019
1,60,3,0,0,6.10459136962891,75.1793932914734,0,10.3270721435547
1,60,3,0,0,4.78774261474609,79.9671359062195,0,5.11606311798096
1,60,3,0,1,7.47193908691406,87.4390749931335,0,16.4013710021973
1,60,3,0,1,8.32653045654297,95.7656054496765,0,8.54630374908447
0,[Device Ends At04/11/2014 16:43:43 -- Overall Times ] 95.7656054496765[Overall error] 105.81915640831  ,,,,,,,,
0,[User:60 - Device:3 - Object:1 - BoundingBoxType:0 - time:04/11/2014 16:43:50] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,60,3,1,1,9.68404817581177,9.68404817581177,1,17.8452415466309
1,60,3,1,1,10.4351024627686,20.1191506385803,0,5.73160696029663
1,60,3,1,1,7.94472503662109,28.0638756752014,0,8.49306297302246
1,60,3,1,0,2.42428588867188,30.4881615638733,0,16.6341686248779
1,60,3,1,1,6.93973159790039,37.4278931617737,0,6.26125717163086
1,60,3,1,0,4.41754150390625,41.8454346656799,0,12.9804754257202
1,60,3,1,0,1.72910690307617,43.5745415687561,0,13.9319753646851
1,60,3,1,1,12.9057350158691,56.4802765846252,0,16.5838527679443
1,60,3,1,1,8.30690002441406,64.7871766090393,0,10.742374420166
1,60,3,1,0,3.32893371582031,68.1161103248596,0,12.3043546676636
1,60,3,1,0,15.6874542236328,83.8035645484924,0,10.257396697998
1,60,3,1,0,2.70963287353516,86.5131974220276,1,22.5988826751709
0,[Device Ends At04/11/2014 16:45:20 -- Overall Times ] 86.5131974220276[Overall error] 154.364649295807  ,,,,,,,,
0,[User:60 - Device:2 - Object:1 - BoundingBoxType:0 - time:04/11/2014 16:51:50] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
0,[User:60 - Device:2 - Object:1 - BoundingBoxType:0 - time:04/11/2014 16:52:06] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,60,2,1,1,8.97484970092773,8.97484970092773,0,13.2758159637451
1,60,2,1,0,2.79380416870117,11.7686538696289,0,8.41997241973877
1,60,2,1,1,9.61683082580566,21.3854846954346,0,10.9453506469727
1,60,2,1,0,4.71633911132813,26.1018238067627,0,16.556266784668
1,60,2,1,0,4.21515274047852,30.3169765472412,0,10.7582683563232
1,60,2,1,0,2.97500228881836,33.2919788360596,0,8.09718322753906
1,60,2,1,1,7.9099235534668,41.2019023895264,0,16.7381038665771
1,60,2,1,1,14.2319221496582,55.4338245391846,0,16.0705795288086
1,60,2,1,0,2.77570343017578,58.2095279693604,0,6.44126844406128
1,60,2,1,0,3.84769439697266,62.057222366333,0,9.21136665344238
1,60,2,1,1,5.41750335693359,67.4747257232666,0,5.20451927185059
1,60,2,1,1,11.2880630493164,78.762788772583,0,14.2363300323486
0,[Device Ends At04/11/2014 16:53:42 -- Overall Times ] 78.762788772583[Overall error] 135.955025196075  ,,,,,,,,
0,[User:60 - Device:2 - Object:0 - BoundingBoxType:0 - time:04/11/2014 16:53:54] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,60,2,0,1,7.81324672698975,7.81324672698975,0,6.91242170333862
1,60,2,0,0,7.92896175384521,15.742208480835,0,13.1185417175293
1,60,2,0,0,5.02936935424805,20.771577835083,0,11.5773057937622
1,60,2,0,1,9.49960517883301,30.271183013916,0,8.83424472808838
1,60,2,0,0,4.83332061767578,35.1045036315918,0,5.77027463912964
1,60,2,0,1,4.93284225463867,40.0373458862305,0,11.5369415283203
1,60,2,0,0,7.64387512207031,47.6812210083008,0,10.1309299468994
1,60,2,0,0,3.77728652954102,51.4585075378418,0,4.43364000320435
1,60,2,0,1,5.0545654296875,56.5130729675293,0,4.65888357162476
1,60,2,0,1,5.01381301879883,61.5268859863281,0,1.50918447971344
1,60,2,0,0,4.65142059326172,66.1783065795898,1,19.3145637512207
1,60,2,0,1,6.48920440673828,72.6675109863281,0,6.74521446228027
0,[Device Ends At04/11/2014 16:55:14 -- Overall Times ] 72.6675109863281[Overall error] 104.542146325111  ,,,,,,,,
