0,[User:99 - Device:2 - Object:0 - BoundingBoxType:0 - time:04/04/2014 19:55:18] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,99,2,0,0,3.4485878944397,3.4485878944397,2,49.97850060726
1,99,2,0,1,1.75790405273438,5.20649194717407,2,141.074126050056
0,[User:99 - Device:2 - Object:0 - BoundingBoxType:0 - time:04/04/2014 19:55:45] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,99,2,0,0,0.895977020263672,0.895977020263672,2,49.97850060726
1,99,2,0,1,0.887287974357605,1.78326499462128,2,141.074126050056
1,99,2,0,1,1.39966678619385,3.18293178081512,2,172.433733259681
1,99,2,0,0,1.60540914535522,4.78834092617035,2,42.5086751151788
1,99,2,0,1,1.23917007446289,6.02751100063324,2,95.7379192273049
1,99,2,0,0,1.10210084915161,7.12961184978485,2,52.591728422705
1,99,2,0,1,2.40924453735352,9.53885638713837,2,175.892087502641
1,99,2,0,0,1.3263692855835,10.8652256727219,2,42.9144044535531
1,99,2,0,0,1.35502243041992,12.2202481031418,2,45.255230604716
1,99,2,0,1,1.43811225891113,13.6583603620529,2,183.015669805073
1,99,2,0,1,1.96778011322021,15.6261404752731,2,83.6504493973239
1,99,2,0,0,3.69979667663574,19.3259371519089,2,54.1177794998919
0,[Device Ends At04/04/2014 19:56:05 -- Overall Times ] 19.3259371519089[Overall error] 1139.17030394538  ,,,,,,,,
0,[User:99 - Device:2 - Object:0 - BoundingBoxType:0 - time:04/04/2014 19:56:09] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,99,2,0,0,1.17159098386765,1.17159098386765,2,49.97850060726
1,99,2,0,1,2.14484095573425,3.3164319396019,2,141.074126050056
1,99,2,0,1,2.2858099937439,5.60224193334579,2,172.433733259681
1,99,2,0,0,1.6892237663269,7.2914656996727,2,42.5086751151788
1,99,2,0,1,3.76233863830566,11.0538043379784,2,95.7379192273049
1,99,2,0,0,1.62746429443359,12.681268632412,2,52.591728422705
1,99,2,0,1,7.82208156585693,20.5033501982689,2,175.892087502641
1,99,2,0,0,1.76166534423828,22.2650155425072,2,42.9144044535531
1,99,2,0,0,1.56755828857422,23.8325738310814,2,45.255230604716
1,99,2,0,1,1.65408706665039,25.4866608977318,2,183.015669805073
1,99,2,0,1,2.5086784362793,27.9953393340111,2,83.6504493973239
1,99,2,0,0,2.86145782470703,30.8567971587181,2,54.1177794998919
0,[Device Ends At04/04/2014 19:56:41 -- Overall Times ] 30.8567971587181[Overall error] 1139.17030394538  ,,,,,,,,
0,[User:99 - Device:2 - Object:0 - BoundingBoxType:0 - time:04/04/2014 20:02:54] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,99,2,0,0,0.933546960353851,0.933546960353851,2,49.97850060726
1,99,2,0,1,0.807278037071228,1.74082499742508,2,141.074126050056
1,99,2,0,1,1.09835410118103,2.83917909860611,2,172.433733259681
1,99,2,0,0,1.02801084518433,3.86718994379044,2,42.5086751151788
1,99,2,0,1,2.60313892364502,6.47032886743546,2,95.7379192273049
1,99,2,0,0,0.953676223754883,7.42400509119034,2,52.591728422705
1,99,2,0,1,0.93389892578125,8.35790401697159,2,175.892087502641
1,99,2,0,0,0.557269096374512,8.9151731133461,2,42.9144044535531
1,99,2,0,0,0.717972755432129,9.63314586877823,2,45.255230604716
1,99,2,0,1,0.591021537780762,10.224167406559,2,183.015669805073
1,99,2,0,1,0.544189453125,10.768356859684,2,83.6504493973239
1,99,2,0,0,0.434581756591797,11.2029386162758,2,54.1177794998919
0,[Device Ends At04/04/2014 20:03:06 -- Overall Times ] 11.2029386162758[Overall error] 1139.17030394538  ,,,,,,,,
0,[User:99 - Device:2 - Object:0 - BoundingBoxType:0 - time:04/04/2014 20:38:53] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,99,2,0,0,1.33873891830444,1.33873891830444,2,49.97850060726
1,99,2,0,1,4.65790796279907,5.99664688110352,2,141.074126050056
1,99,2,0,1,30.7341194152832,36.7307662963867,2,172.433733259681
1,99,2,0,0,3.19198989868164,39.9227561950684,2,42.5086751151788
1,99,2,0,1,4.43384170532227,44.3565979003906,2,95.7379192273049
1,99,2,0,0,0.930561065673828,45.2871589660645,2,52.591728422705
1,99,2,0,1,1.0532112121582,46.3403701782227,2,175.892087502641
1,99,2,0,0,1.17282867431641,47.5131988525391,2,42.9144044535531
1,99,2,0,0,1.03062438964844,48.5438232421875,2,45.255230604716
1,99,2,0,1,0.813179016113281,49.3570022583008,2,183.015669805073
1,99,2,0,1,0.519718170166016,49.8767204284668,2,83.6504493973239
1,99,2,0,0,0.656780242919922,50.5335006713867,2,54.1177794998919
0,[Device Ends At04/04/2014 20:39:49 -- Overall Times ] 50.5335006713867[Overall error] 1139.17030394538  ,,,,,,,,
0,[User:99 - Device:2 - Object:0 - BoundingBoxType:0 - time:04/04/2014 22:26:37] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
0,[User:99 - Device:2 - Object:0 - BoundingBoxType:0 - time:04/04/2014 22:27:21] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,99,2,0,0,57.372878074646,57.372878074646,2,34.2838003623768
