0,[User:64 - Device:3 - Object:0 - BoundingBoxType:0 - time:04/12/2014 14:13:25] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,64,3,0,0,2.91159009933472,2.91159009933472,0,5.7000994682312
1,64,3,0,1,4.96702003479004,7.87861013412476,0,2.48413109779358
1,64,3,0,0,4.45052433013916,12.3291344642639,0,9.18180370330811
1,64,3,0,1,6.33985137939453,18.6689858436584,0,11.404691696167
1,64,3,0,0,2.9051570892334,21.5741429328918,0,15.4378395080566
1,64,3,0,0,4.45114135742188,26.0252842903137,0,11.6501474380493
1,64,3,0,1,8.51816749572754,34.5434517860413,0,0.720903992652893
1,64,3,0,1,6.32120895385742,40.8646607398987,0,10.3420877456665
1,64,3,0,0,2.72843170166016,43.5930924415588,0,4.94976663589478
1,64,3,0,1,4.63788223266602,48.2309746742249,0,4.35974502563477
1,64,3,0,0,3.14582443237305,51.3767991065979,1,20.1017112731934
1,64,3,0,1,10.1020698547363,61.4788689613342,0,12.2449407577515
0,[Device Ends At04/12/2014 14:14:30 -- Overall Times ] 61.4788689613342[Overall error] 108.5778683424  ,,,,,,,,
0,[User:64 - Device:3 - Object:1 - BoundingBoxType:0 - time:04/12/2014 14:14:37] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,64,3,1,1,7.69805812835693,7.69805812835693,0,7.59399557113647
1,64,3,1,1,6.13927745819092,13.8373355865479,0,16.5428848266602
1,64,3,1,0,2.1858959197998,16.0232315063477,0,14.5562496185303
1,64,3,1,1,5.48407173156738,21.507303237915,1,17.8869400024414
1,64,3,1,0,3.90211296081543,25.4094161987305,0,7.5041446685791
1,64,3,1,0,3.49056816101074,28.8999843597412,0,13.0688209533691
1,64,3,1,0,2.977294921875,31.8772792816162,1,26.7651119232178
1,64,3,1,1,6.20501327514648,38.0822925567627,1,21.4453907012939
1,64,3,1,0,3.49500274658203,41.5772953033447,0,6.16255283355713
1,64,3,1,1,13.5975036621094,55.1747989654541,0,3.90388178825378
1,64,3,1,1,6.30524063110352,61.4800395965576,1,25.2788848876953
1,64,3,1,0,5.71762847900391,67.1976680755615,1,19.6037788391113
0,[Device Ends At04/12/2014 14:15:49 -- Overall Times ] 67.1976680755615[Overall error] 180.312636613846  ,,,,,,,,
0,[User:64 - Device:2 - Object:0 - BoundingBoxType:0 - time:04/12/2014 14:24:16] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,64,2,0,1,6.38599419593811,6.38599419593811,0,5.11575698852539
1,64,2,0,0,7.04101943969727,13.4270136356354,0,10.6968202590942
1,64,2,0,0,5.21797943115234,18.6449930667877,0,9.56303024291992
1,64,2,0,1,8.1933708190918,26.8383638858795,0,5.77041006088257
1,64,2,0,0,9.85370445251465,36.6920683383942,0,7.62600517272949
1,64,2,0,0,5.03750610351563,41.7295744419098,0,8.99638080596924
1,64,2,0,1,6.0632438659668,47.7928183078766,0,1.41219663619995
1,64,2,0,1,5.18470001220703,52.9775183200836,0,7.51707553863525
1,64,2,0,1,6.17226028442383,59.1497786045074,1,18.3735103607178
1,64,2,0,1,6.88888168334961,66.0386602878571,1,20.8024215698242
1,64,2,0,0,6.27370452880859,72.3123648166656,0,10.5937376022339
1,64,2,0,0,10.9178009033203,83.230165719986,0,3.32331418991089
0,[Device Ends At04/12/2014 14:25:43 -- Overall Times ] 83.230165719986[Overall error] 109.790659427643  ,,,,,,,,
0,[User:64 - Device:2 - Object:1 - BoundingBoxType:0 - time:04/12/2014 14:25:52] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,64,2,1,1,7.19608783721924,7.19608783721924,1,33.4639739990234
1,64,2,1,1,10.1013212203979,17.2974090576172,0,1.44290041923523
1,64,2,1,1,8.07658958435059,25.3739986419678,0,15.495906829834
1,64,2,1,1,6.64008903503418,32.014087677002,1,22.549015045166
1,64,2,1,0,4.1296501159668,36.1437377929688,0,4.12653636932373
1,64,2,1,0,5.24951171875,41.3932495117188,0,8.47662830352783
1,64,2,1,0,5.05011367797852,46.4433631896973,1,27.92698097229
1,64,2,1,0,4.33565139770508,50.7790145874023,0,12.4930286407471
1,64,2,1,1,7.70571517944336,58.4847297668457,2,50.3934364318848
1,64,2,1,0,4.92470550537109,63.4094352722168,0,9.10837936401367
1,64,2,1,1,7.93492126464844,71.3443565368652,0,5.12829160690308
1,64,2,1,0,5.11778259277344,76.4621391296387,0,9.72891521453857
0,[Device Ends At04/12/2014 14:27:13 -- Overall Times ] 76.4621391296387[Overall error] 200.333993196487  ,,,,,,,,
0,[User:64 - Device:0 - Object:1 - BoundingBoxType:0 - time:04/12/2014 14:33:26] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,64,0,1,0,7.59905636310577,7.59905636310577,0,12.9410781860352
1,64,0,1,1,7.48946952819824,15.088525891304,0,6.70375490188599
1,64,0,1,0,7.96316528320313,23.0516911745071,1,28.8099117279053
1,64,0,1,1,10.0490970611572,33.1007882356644,0,16.7928733825684
1,64,0,1,1,7.66283798217773,40.7636262178421,0,14.9097566604614
1,64,0,1,1,7.1529541015625,47.9165803194046,1,19.7453784942627
1,64,0,1,0,4.48181533813477,52.3983956575394,1,25.9664287567139
1,64,0,1,1,9.35333633422852,61.7517319917679,0,14.9624118804932
1,64,0,1,1,9.1596794128418,70.9114114046097,0,6.08261775970459
1,64,0,1,0,4.18569183349609,75.0971032381058,0,5.57692527770996
1,64,0,1,0,5.39961242675781,80.4967156648636,0,15.4410943984985
1,64,0,1,0,5.50136566162109,85.9980813264847,1,21.0640296936035
0,[Device Ends At04/12/2014 14:34:54 -- Overall Times ] 85.9980813264847[Overall error] 188.996261119843  ,,,,,,,,
0,[User:64 - Device:0 - Object:0 - BoundingBoxType:0 - time:04/12/2014 14:35:03] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,64,0,0,1,6.2282897233963,6.2282897233963,0,4.78930997848511
1,64,0,0,0,3.87918758392334,10.1074773073196,0,2.70265197753906
1,64,0,0,0,3.8502197265625,13.9576970338821,0,4.31171560287476
1,64,0,0,1,5.61580181121826,19.5734988451004,1,26.1929244995117
1,64,0,0,0,8.89536285400391,28.4688616991043,0,4.27433252334595
1,64,0,0,0,6.42291641235352,34.8917781114578,0,8.09050559997559
1,64,0,0,0,3.54479217529297,38.4365702867508,0,6.26163244247437
1,64,0,0,1,8.19608306884766,46.6326533555985,0,6.27425003051758
1,64,0,0,1,7.45794677734375,54.0906001329422,0,16.7458457946777
1,64,0,0,1,5.4882926940918,59.578892827034,0,6.79956388473511
1,64,0,0,1,4.70905303955078,64.2879458665848,0,10.5361680984497
1,64,0,0,0,5.45519256591797,69.7431384325027,0,15.0190143585205
0,[Device Ends At04/12/2014 14:36:15 -- Overall Times ] 69.7431384325027[Overall error] 111.997914791107  ,,,,,,,,
0,[User:64 - Device:4 - Object:0 - BoundingBoxType:0 - time:04/12/2014 14:42:07] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,64,4,0,0,4.7582471370697,4.7582471370697,0,4.51274728775024
1,64,4,0,1,8.09487819671631,12.853125333786,0,6.91026830673218
1,64,4,0,1,9.39872646331787,22.2518517971039,0,7.93931198120117
1,64,4,0,1,5.51647758483887,27.7683293819427,0,1.36082601547241
1,64,4,0,0,3.91615104675293,31.6844804286957,1,20.0208911895752
1,64,4,0,1,11.0383377075195,42.7228181362152,0,6.16407775878906
1,64,4,0,0,6.77574157714844,49.4985597133636,0,3.90328025817871
1,64,4,0,1,9.26361083984375,58.7621705532074,0,14.7014751434326
1,64,4,0,1,10.2803840637207,69.0425546169281,0,12.2925586700439
1,64,4,0,0,9.13551330566406,78.1780679225922,0,15.1663551330566
1,64,4,0,0,7.43702697753906,85.6150949001312,1,19.7043056488037
1,64,4,0,0,6.60688781738281,92.221982717514,0,4.90096664428711
0,[Device Ends At04/12/2014 14:43:43 -- Overall Times ] 92.221982717514[Overall error] 117.577064037323  ,,,,,,,,
0,[User:64 - Device:4 - Object:1 - BoundingBoxType:0 - time:04/12/2014 14:45:12] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,64,4,1,0,6.14268207550049,6.14268207550049,0,12.8187990188599
1,64,4,1,1,7.1601037979126,13.3027858734131,0,1.50294804573059
1,64,4,1,1,5.73416519165039,19.0369510650635,0,16.4198913574219
1,64,4,1,0,6.30477523803711,25.3417263031006,0,15.6289873123169
1,64,4,1,1,8.9797248840332,34.3214511871338,0,9.20396327972412
1,64,4,1,0,3.64641189575195,37.9678630828857,0,8.39789295196533
1,64,4,1,0,5.13506317138672,43.1029262542725,0,4.27652978897095
1,64,4,1,1,6.6410026550293,49.7439289093018,0,5.43067979812622
1,64,4,1,1,9.47830581665039,59.2222347259521,2,39.5119323730469
1,64,4,1,1,10.5712203979492,69.7934551239014,0,12.3285493850708
1,64,4,1,0,5.08229827880859,74.87575340271,1,18.7641792297363
1,64,4,1,0,6.75743865966797,81.6331920623779,0,6.43774175643921
0,[Device Ends At04/12/2014 14:46:38 -- Overall Times ] 81.6331920623779[Overall error] 150.722094297409  ,,,,,,,,
0,[User:64 - Device:1 - Object:1 - BoundingBoxType:0 - time:04/12/2014 14:54:49] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,64,1,1,1,8.39124226570129,8.39124226570129,0,9.52180671691895
1,64,1,1,1,6.85604381561279,15.2472860813141,0,6.5443902015686
1,64,1,1,1,11.2387657165527,26.4860517978668,0,11.872537612915
1,64,1,1,1,6.90840721130371,33.3944590091705,0,9.21034622192383
1,64,1,1,0,4.96485900878906,38.3593180179596,0,14.0547161102295
1,64,1,1,1,8.72999954223633,47.0893175601959,0,7.32723426818848
1,64,1,1,1,7.39389038085938,54.4832079410553,0,15.3903217315674
1,64,1,1,0,7.28821563720703,61.7714235782623,1,28.70823097229
1,64,1,1,0,5.25433349609375,67.0257570743561,0,13.1704597473145
1,64,1,1,0,6.02072906494141,73.0464861392975,0,5.56005191802979
1,64,1,1,0,6.48670196533203,79.5331881046295,1,19.4584903717041
1,64,1,1,0,10.1170501708984,89.650238275528,0,10.4319543838501
0,[Device Ends At04/12/2014 14:56:21 -- Overall Times ] 89.650238275528[Overall error] 151.2505402565  ,,,,,,,,
0,[User:64 - Device:1 - Object:0 - BoundingBoxType:0 - time:04/12/2014 14:56:29] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,64,1,0,1,7.73708879947662,7.73708879947662,0,11.7079477310181
1,64,1,0,1,6.65738487243652,14.3944736719131,0,4.11875152587891
1,64,1,0,0,3.86009788513184,18.254571557045,0,11.7282209396362
1,64,1,0,1,9.83460426330566,28.0891758203506,0,6.90028810501099
1,64,1,0,0,5.4689826965332,33.5581585168839,0,6.93764114379883
1,64,1,0,0,5.82183074951172,39.3799892663956,0,6.50381946563721
1,64,1,0,1,7.71112823486328,47.0911175012589,0,6.85805225372314
1,64,1,0,0,5.88230895996094,52.9734264612198,0,8.12297248840332
1,64,1,0,0,3.71678161621094,56.6902080774307,1,30.9093494415283
1,64,1,0,1,6.12217712402344,62.8123852014542,0,6.26338243484497
1,64,1,0,1,6.0989990234375,68.9113842248917,0,0.481325477361679
1,64,1,0,0,4.44878387451172,73.3601680994034,0,9.53348636627197
0,[Device Ends At04/12/2014 14:57:44 -- Overall Times ] 73.3601680994034[Overall error] 110.065237373114  ,,,,,,,,
