0,[User:22 - Device:1 - Object:0 - BoundingBoxType:0 - time:04/04/2014 10:00:36] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,22,1,0,3,8.12327039241791,8.12327039241791,0,10.4036540926981
1,22,1,0,3,7.48998832702637,15.6132587194443,0,6.05908663628826
1,22,1,0,3,3.6614818572998,19.2747405767441,0,3.68919727647565
0,[User:22 - Device:1 - Object:0 - BoundingBoxType:0 - time:04/04/2014 10:02:27] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
0,[User:22 - Device:1 - Object:0 - BoundingBoxType:0 - time:04/04/2014 10:02:34] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,22,1,0,3,21.9819679260254,21.9819679260254,0,8.630784018204
1,22,1,0,3,21.0929298400879,43.0748977661133,0,13.2497507828482
1,22,1,0,3,20.3981895446777,63.473087310791,0,4.83958006868357
1,22,1,0,3,19.8204040527344,83.2934913635254,0,15.9151211183355
1,22,1,0,3,12.406608581543,95.7000999450684,0,6.95419068797431
1,22,1,0,3,23.2304763793945,118.930576324463,0,13.6235071673212
1,22,1,0,3,23.3602752685547,142.290851593018,0,10.3324569974087
1,22,1,0,3,14.9556427001953,157.246494293213,0,7.82070100927898
1,22,1,0,3,13.4572448730469,170.70373916626,1,17.278112182587
1,22,1,0,3,12.5105895996094,183.214328765869,0,5.49831723796574
1,22,1,0,3,8.58114624023438,191.795475006104,0,9.85842220335475
1,22,1,0,3,7.20489501953125,199.000370025635,0,6.47917113075688
0,[Device Ends At04/04/2014 10:06:12 -- Overall Times ] 199.000370025635[Overall error] 120.480114604719  ,,,,,,,,
0,[User:22 - Device:0 - Object:0 - BoundingBoxType:0 - time:04/04/2014 10:18:16] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,22,0,0,3,14.3228585720062,14.3228585720062,0,8.82864690353283
1,22,0,0,3,7.04091453552246,21.3637731075287,0,6.42580850728282
1,22,0,0,3,12.224853515625,33.5886266231537,0,2.30289943245723
1,22,0,0,3,8.58761215209961,42.1762387752533,0,6.12429547426465
1,22,0,0,3,9.1077766418457,51.284015417099,0,2.2031017352505
1,22,0,0,3,9.14737701416016,60.4313924312592,0,7.4280967287543
1,22,0,0,3,8.92945098876953,69.3608434200287,0,4.82554724944666
1,22,0,0,3,7.39364624023438,76.7544896602631,0,6.49246195774484
1,22,0,0,3,13.4102630615234,90.1647527217865,0,4.1972497526608
1,22,0,0,3,9.57241058349609,99.7371633052826,0,7.8975376168931
1,22,0,0,3,16.8014526367188,116.538615942001,0,6.01128489109059
1,22,0,0,3,9.78295135498047,126.321567296982,0,5.70325425467547
0,[Device Ends At04/04/2014 10:20:25 -- Overall Times ] 126.321567296982[Overall error] 68.4401845040538  ,,,,,,,,
0,[User:22 - Device:4 - Object:1 - BoundingBoxType:0 - time:04/04/2014 10:29:21] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,22,4,1,3,12.2937316894531,12.2937316894531,0,11.0387805267097
1,22,4,1,3,13.2942771911621,25.5880088806152,0,5.43728954771764
1,22,4,1,3,7.86100769042969,33.4490165710449,0,7.02386765153361
1,22,4,1,3,16.0888824462891,49.537899017334,0,5.71416655665481
1,22,4,1,3,12.9276657104492,62.4655647277832,0,3.12133487421071
1,22,4,1,3,10.0555801391602,72.5211448669434,0,6.9263708421699
1,22,4,1,3,11.0646667480469,83.5858116149902,0,6.40787877044888
1,22,4,1,3,18.3301391601563,101.915950775146,0,2.44766759973839
1,22,4,1,3,16.1371002197266,118.053050994873,0,3.94456556928672
1,22,4,1,3,13.5625,131.615550994873,0,3.32558772005254
1,22,4,1,3,11.3240966796875,142.939647674561,0,2.14029821029634
1,22,4,1,3,12.541015625,155.480663299561,0,6.39968858364271
0,[Device Ends At04/04/2014 10:32:34 -- Overall Times ] 155.480663299561[Overall error] 63.927496452462  ,,,,,,,,
0,[User:22 - Device:3 - Object:0 - BoundingBoxType:0 - time:04/04/2014 10:43:37] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,22,3,0,3,12.1175727844238,12.1175727844238,1,19.3476953310462
1,22,3,0,3,11.5692863464355,23.6868591308594,0,12.2812807948523
1,22,3,0,3,3.86534118652344,27.5522003173828,1,17.6308978289158
1,22,3,0,3,16.2709045410156,43.8231048583984,0,7.31088487270709
1,22,3,0,3,10.0188522338867,53.8419570922852,0,5.74289067952204
1,22,3,0,3,10.7341537475586,64.5761108398438,0,8.38964930802821
1,22,3,0,3,8.9993896484375,73.5755004882813,0,5.75893431879957
1,22,3,0,3,6.50467681884766,80.0801773071289,0,5.03483863214871
1,22,3,0,3,12.4411849975586,92.5213623046875,0,9.31003620780768
1,22,3,0,3,6.24676513671875,98.7681274414063,0,10.7590132483393
1,22,3,0,3,13.8229064941406,112.591033935547,0,7.5171877944929
1,22,3,0,3,8.29396057128906,120.884994506836,0,4.9912941250308
0,[Device Ends At04/04/2014 10:46:21 -- Overall Times ] 120.884994506836[Overall error] 114.074603141691  ,,,,,,,,
0,[User:22 - Device:2 - Object:1 - BoundingBoxType:0 - time:04/04/2014 10:55:48] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,22,2,1,3,6.06221902370453,6.06221902370453,0,7.76874507524498
1,22,2,1,3,2.97922801971436,9.04144704341888,1,27.6976744043033
1,22,2,1,3,3.45982360839844,12.5012706518173,0,14.0494667373048
1,22,2,1,3,7.09149074554443,19.5927613973618,0,12.7403086998057
0,[User:22 - Device:2 - Object:1 - BoundingBoxType:0 - time:04/04/2014 10:57:48] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,22,2,1,3,11.2480249404907,11.2480249404907,0,5.47568659723831
1,22,2,1,3,9.83096885681152,21.0789937973022,0,2.42776745112749
1,22,2,1,3,15.7554817199707,36.8344755172729,0,9.73751073412337
1,22,2,1,3,12.9619178771973,49.7963933944702,0,13.1018236411061
1,22,2,1,3,11.6416549682617,61.4380483627319,0,8.45177252218209
1,22,2,1,3,15.0309906005859,76.4690389633179,0,6.88717386911781
1,22,2,1,3,14.1153182983398,90.5843572616577,0,5.14525617897601
1,22,2,1,3,14.950798034668,105.535155296326,0,3.13069869639113
1,22,2,1,3,15.6691360473633,121.204291343689,0,3.63020184106494
1,22,2,1,3,12.77783203125,133.982123374939,0,2.29051167060754
1,22,2,1,3,21.661865234375,155.643988609314,0,2.47387648242002
1,22,2,1,3,14.3259582519531,169.969946861267,0,8.95518861179952
