0,[User:21 - Device:0 - Object:0 - BoundingBoxType:0 - time:04/03/2014 20:15:18] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,21,0,0,1,5.1475830078125,5.1475830078125,0,12.6139232610485
1,21,0,0,1,7.54181098937988,12.6893939971924,1,21.2377840675105
1,21,0,0,0,4.93533134460449,17.6247253417969,0,13.1249452198466
1,21,0,0,0,7.29122924804688,24.9159545898438,0,12.3577599665731
1,21,0,0,0,8.22832107543945,33.1442756652832,0,6.40612336410638
1,21,0,0,1,15.9034767150879,49.0477523803711,0,8.15915779126027
1,21,0,0,1,9.84942626953125,58.8971786499023,0,7.28606427677527
1,21,0,0,0,6.33871459960938,65.2358932495117,0,11.29213582264
1,21,0,0,0,6.27301788330078,71.5089111328125,0,3.78593523574266
1,21,0,0,1,11.6881561279297,83.1970672607422,0,13.5178516569429
1,21,0,0,1,13.2861633300781,96.4832305908203,0,3.64732763182931
1,21,0,0,0,4.39145660400391,100.874687194824,0,15.4152524218292
0,[Device Ends At04/03/2014 20:17:03 -- Overall Times ] 100.874687194824[Overall error] 128.844260716105  ,,,,,,,,
0,[User:21 - Device:0 - Object:1 - BoundingBoxType:0 - time:04/03/2014 20:17:12] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,21,0,1,1,4.7982816696167,4.7982816696167,0,8.26144988782764
1,21,0,1,1,11.7917804718018,16.5900621414185,0,9.77442096446412
1,21,0,1,1,16.2035827636719,32.7936449050903,1,20.9182316456809
1,21,0,1,1,9.60334014892578,42.3969850540161,0,9.05835714453461
1,21,0,1,0,15.0017051696777,57.3986902236938,0,14.2124118745239
1,21,0,1,0,8.40703582763672,65.8057260513306,2,36.458186937542
1,21,0,1,1,15.2196807861328,81.0254068374634,0,4.46783078592005
1,21,0,1,0,14.58154296875,95.6069498062134,0,7.09172245583849
1,21,0,1,0,10.6237869262695,106.230736732483,0,10.3056684999771
1,21,0,1,0,7.17192840576172,113.402665138245,0,10.5365364195581
1,21,0,1,0,7.54119110107422,120.943856239319,0,6.87154824390154
1,21,0,1,1,8.51161956787109,129.45547580719,0,5.01739334592274
