0,[User:46 - Device:0 - Object:1 - BoundingBoxType:0 - time:04/09/2014 10:08:13] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,46,0,1,3,11.7033169865608,11.7033169865608,1,29.7899112701416
1,46,0,1,3,5.88904762268066,17.5923646092415,0,9.77231407165527
1,46,0,1,3,1.27345848083496,18.8658230900764,2,178.52473449707
0,[User:46 - Device:0 - Object:1 - BoundingBoxType:0 - time:04/09/2014 10:10:20] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,46,0,1,3,20.2219333648682,20.2219333648682,0,3.64246869087219
1,46,0,1,3,22.9781837463379,43.2001171112061,1,18.0546092987061
1,46,0,1,3,16.0718688964844,59.2719860076904,0,3.32778668403625
1,46,0,1,3,12.5239334106445,71.795919418335,0,16.4824295043945
1,46,0,1,3,6.71012878417969,78.5060482025146,0,8.52840995788574
1,46,0,1,3,5.06581878662109,83.5718669891357,0,4.97799921035767
1,46,0,1,3,7.59574890136719,91.1676158905029,0,7.57675123214722
1,46,0,1,3,8.52626037597656,99.6938762664795,0,3.96476864814758
1,46,0,1,3,8.72788238525391,108.421758651733,0,10.1138973236084
1,46,0,1,3,5.42044067382813,113.842199325562,0,1.65181016921997
1,46,0,1,3,4.56373596191406,118.405935287476,0,12.484299659729
1,46,0,1,3,3.93403625488281,122.339971542358,1,29.8449687957764
0,[Device Ends At04/09/2014 10:12:41 -- Overall Times ] 122.339971542358[Overall error] 120.650199174881  ,,,,,,,,
0,[User:46 - Device:3 - Object:0 - BoundingBoxType:0 - time:04/09/2014 10:22:16] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,46,3,0,3,16.095263004303,16.095263004303,0,7.44251918792725
1,46,3,0,3,2.62618446350098,18.721447467804,0,8.02742195129395
1,46,3,0,3,3.47794151306152,22.1993889808655,1,20.0342063903809
1,46,3,0,3,5.25176811218262,27.4511570930481,0,11.0661487579346
1,46,3,0,3,4.75098037719727,32.2021374702454,1,19.8991088867188
1,46,3,0,3,7.33998107910156,39.5421185493469,1,23.5047397613525
1,46,3,0,3,6.19138717651367,45.7335057258606,0,8.00484943389893
1,46,3,0,3,4.61187744140625,50.3453831672668,1,31.1091823577881
1,46,3,0,3,3.29965972900391,53.6450428962708,1,20.9830513000488
1,46,3,0,3,4.34366226196289,57.9887051582336,0,7.77109050750732
1,46,3,0,3,4.79882431030273,62.7875294685364,2,38.7200202941895
1,46,3,0,3,3.98256683349609,66.7700963020325,0,3.76110339164734
0,[Device Ends At04/09/2014 10:23:28 -- Overall Times ] 66.7700963020325[Overall error] 200.323442220688  ,,,,,,,,
0,[User:46 - Device:2 - Object:0 - BoundingBoxType:0 - time:04/09/2014 10:32:46] :: -  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,46,2,0,3,6.87019515037537,6.87019515037537,0,9.50657081604004
1,46,2,0,3,5.0975170135498,11.9677121639252,0,5.59024715423584
1,46,2,0,3,4.56277847290039,16.5304906368256,0,14.8240718841553
